"Time_Window","Outcome_Type","Outcome_Parameter","N_Total","Cluster1_N","Cluster2_N","Cluster1_Mean","Cluster1_SD","Cluster1_Median","Cluster2_Mean","Cluster2_SD","Cluster2_Median","Mean_Difference","T_Statistic","T_P_Value","T_CI_Lower","T_CI_Upper","Welch_T_Statistic","Welch_P_Value","MW_U_Statistic","MW_P_Value","Cohens_D","Hedges_G","Glass_Delta1","Glass_Delta2","Effect_Size_Category","Better_Cluster","Better_Cluster_N","Better_Cluster_Mean","Worse_Cluster_Mean","Percent_Improvement","T_Significant","Welch_Significant","MW_Significant","Parameter_Type_Detailed","Parameter_Major_Type","Welch_P_Value_FDR_Strategy1","Welch_Significant_FDR_Strategy1","Tests_in_Group_Strategy1","Welch_P_Value_FDR_Strategy2","Welch_Significant_FDR_Strategy2","Tests_in_Group_Strategy2","Welch_P_Value_FDR_Strategy3","Welch_Significant_FDR_Strategy3","Tests_in_Group_Strategy3","Welch_P_Value_FDR_Global","Welch_Significant_FDR_Global","Tests_in_Global"
"baseline","OCTA","PA_Choroid_0_21_improvement",11,3,8,-6.31819999999999,6.88199479584227,-2.40899999999999,1.59722499999999,7.73806980320582,2.50594999999998,7.91542499999998,-1.6408065736756,0.17472121183368,-21.2017461013409,5.37089610134096,-1.6408065736756,0.17472121183368,4,0.133333333333333,1.04753803637624,0.957749061829707,1.15016433967402,1.02291982384557,"Large",2,8,1.59722499999999,-6.31819999999999,125.27974739641,FALSE,FALSE,FALSE,"BloodFlow_Choroid","BloodFlow",0.17472121183368,FALSE,1,0.497610408841716,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"baseline","OCTA","PA_DCP_0_21_improvement",11,3,8,-3.19186666666667,7.39487354883999,0.845500000000001,-0.4771,5.85219899158794,0.423800000000002,2.71476666666667,-0.57220760908083,0.607218854203098,-17.8065475340367,12.3770142007033,-0.57220760908083,0.607218854203098,12,1,0.435888230853361,0.398526382494502,0.367114684076312,0.463888304305599,"Small",2,8,-0.4771,-3.19186666666667,85.0526337775179,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.663842650705986,FALSE,2,0.767880438438422,FALSE,7,0.817409996042632,FALSE,35,0.839770755812795,FALSE,65
"baseline","OCTA","PA_ICP_0_21_improvement",11,3,8,-2.18626666666667,4.62040602148051,-1.6609,-0.22295,2.24419197167138,-0.0864000000000011,1.96331666666667,-0.705444435667023,0.543606110004228,-12.3327721432485,8.40613880991517,-0.705444435667023,0.543606110004228,8,0.496969696969697,0.667114715582321,0.609933454246694,0.424922973768778,0.8748434587815,"Medium",2,8,-0.22295,-2.18626666666667,89.8022504116607,FALSE,FALSE,FALSE,"BloodFlow_ICP","BloodFlow",0.543606110004228,FALSE,2,0.767880438438422,FALSE,7,0.792758910422832,FALSE,35,0.785208825561662,FALSE,65
"baseline","OCTA","PA_SVP_0_21_improvement",11,3,8,-1.72066666666666,3.5639926842424,-0.118199999999995,-2.4947,3.71290620827251,-2.6073,0.774033333333335,0.317130279350709,0.767880438438422,-6.16070453924131,7.70877120590798,0.317130279350709,0.767880438438422,12,1,0.210315995969357,0.192288910600555,0.217181515763372,0.208471017018624,"Small",1,3,-1.72066666666666,-2.4947,31.0271108082469,FALSE,FALSE,FALSE,"BloodFlow_SVP","BloodFlow",0.767880438438422,FALSE,2,0.767880438438422,FALSE,7,0.866961785333702,FALSE,35,0.891289794616026,FALSE,65
"baseline","OCTA","VD_DCP_0_21_improvement",11,3,8,0.261466666666667,0.936886120792348,0.458600000000001,-0.0924,1.57854440364714,-0.20545,0.353866666666667,0.455301870281699,0.663842650705986,-1.51686954900946,2.22460288234279,0.455301870281699,0.663842650705986,15,0.63030303030303,0.24228775486265,0.22152023301728,0.377705100772966,0.224172766916836,"Small",1,3,0.261466666666667,-0.0924,382.972582972583,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.663842650705986,FALSE,2,0.767880438438422,FALSE,7,0.829803313382482,FALSE,35,0.846073966586061,FALSE,65
"baseline","OCTA","VD_ICP_0_21_improvement",11,3,8,0.7326,0.895250735827678,0.3704,-0.432125,1.95250010481068,-0.7945,1.164725,1.35060207965732,0.213261603789307,-0.81888248590213,3.14833248590213,1.35060207965732,0.213261603789307,19,0.193939393939394,0.656958319061857,0.600647605999412,1.30100423645359,0.596530057606801,"Medium",1,3,0.7326,-0.432125,269.534278275962,FALSE,FALSE,FALSE,"BloodFlow_ICP","BloodFlow",0.426523207578614,FALSE,2,0.497610408841716,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"baseline","OCTA","VD_SVP_0_21_improvement",11,3,8,0.621866666666668,1.81719229674059,-0.388199999999998,-2.103525,3.04317517440959,-2.8818,2.72539166666667,1.81356826227643,0.116620409291732,-0.897133227714388,6.34791656104773,1.81356826227643,0.116620409291732,19,0.193939393939394,0.967403105087524,0.884482838937165,1.49978165302323,0.895575019665249,"Large",1,3,0.621866666666668,-2.103525,129.5630746802,FALSE,FALSE,FALSE,"BloodFlow_SVP","BloodFlow",0.233240818583463,FALSE,2,0.497610408841716,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"baseline","OCTA","Thickness_GCL.IPL_0_21_improvement",10,2,8,-0.699949999999999,0.432961482120524,-0.699949999999999,0.446,9.12864627329031,-1.4864,1.14595,-0.353475348950364,0.733963785138981,-8.78530004439538,6.49340004439538,-0.353475348950364,0.733963785138981,10,0.711111111111111,0.134179291070277,0.121194198386057,2.64677124253053,0.125533399552676,"Negligible",2,8,0.446,-0.699949999999999,163.71883705979,FALSE,FALSE,FALSE,"Thickness_GCL_IPL","Thickness",0.733963785138981,FALSE,1,0.874787181767539,FALSE,3,0.786389769791765,FALSE,15,0.89084211299378,FALSE,65
"baseline","OCTA","Thickness_INL_0_21_improvement",10,2,8,-0.0407499999999992,0.158886893732621,-0.0407499999999992,1.238475,7.88066404322268,0.0206999999999979,1.279225,-0.458750268596451,0.66027386874982,-7.86867001171851,5.31022001171851,-0.458750268596451,0.66027386874982,8,1,0.17352717183781,0.156734219724473,8.05116753149388,0.1623245189725,"Negligible",2,8,1.238475,-0.0407499999999992,3139.20245398779,FALSE,FALSE,FALSE,"Thickness_INL","Thickness",0.66027386874982,FALSE,1,0.874787181767539,FALSE,3,0.786389769791765,FALSE,15,0.846073966586061,FALSE,65
"baseline","OCTA","Thickness_OuterRetina_0_21_improvement",10,2,8,-0.682699999999997,2.05400377799068,-0.682699999999997,-1.6260875,20.0356803056403,-5.4282,0.943387500000002,0.130463490132676,0.899627069132162,-15.9235471142507,17.8103221142507,0.130463490132676,0.899627069132162,10,0.711111111111111,0.0502986370855368,0.045431027045001,0.459291998441632,0.0470853739732725,"Negligible",1,2,-0.682699999999997,-1.6260875,58.0157894332256,FALSE,FALSE,FALSE,"Other","Other",0.899627069132162,FALSE,1,0.899627069132162,FALSE,1,0.899627069132162,FALSE,5,0.929610482342649,FALSE,65
"baseline","OCTA","Thickness_Retina_0_21_improvement",10,2,8,-4.07095000000001,2.37312106834015,-4.07095000000001,-0.983937500000001,53.2396310839139,-7.1636,3.08701250000001,-0.163353856311378,0.874787181767539,-47.6350022772875,41.4609772772874,-0.163353856311378,0.874787181767539,9,0.888888888888889,0.0619780200341084,0.0559801471275818,1.30082385647487,0.0579833563296936,"Negligible",2,8,-0.983937500000001,-4.07095000000001,75.8302730320933,FALSE,FALSE,FALSE,"Thickness_Retina","Thickness",0.874787181767539,FALSE,1,0.874787181767539,FALSE,3,0.874787181767539,FALSE,15,0.929610482342649,FALSE,65
"acute_recovery","OCTA","PA_Choroid_0_21_improvement",12,7,5,0.288542857142862,8.64346407887815,2.35269999999997,-3.12898,7.27531300268242,-2.40899999999999,3.41752285714286,0.741211035001745,0.476277345068152,-6.91177258141723,13.746818295703,0.741211035001745,0.476277345068152,23,0.431818181818182,0.420675140309672,0.388315514132005,0.395388102033557,0.46974238165187,"Small",1,7,0.288542857142862,-3.12898,109.221626764724,FALSE,FALSE,FALSE,"BloodFlow_Choroid","BloodFlow",0.476277345068152,FALSE,1,0.666788283095412,FALSE,7,0.724769872929796,FALSE,35,0.755073839742192,FALSE,65
"acute_recovery","OCTA","PA_DCP_0_21_improvement",12,7,5,1.02174285714286,3.28923490792674,0.495900000000002,-4.9571,7.14824975815759,-1.6195,5.97884285714286,1.74308984923133,0.13928578768481,-2.72686685358622,14.6845525678719,1.74308984923133,0.13928578768481,25,0.267676767676768,1.15211411707138,1.06348995421974,1.81770017177381,0.836406541380259,"Large",1,7,1.02174285714286,-4.9571,120.611705576705,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.27857157536962,FALSE,2,0.499424388326228,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"acute_recovery","OCTA","PA_ICP_0_21_improvement",12,7,5,0.470285714285715,1.19874371243199,0.218599999999995,-2.4888,3.61257358886985,-1.6609,2.95908571428572,1.76354214912443,0.142692682378922,-1.45839887268352,7.37657030125495,1.76354214912443,0.142692682378922,29,0.0732323232323232,1.19982432433302,1.10753014553817,2.46848903864727,0.81910738743219,"Large",1,7,0.470285714285715,-2.4888,118.896083023373,FALSE,FALSE,FALSE,"BloodFlow_ICP","BloodFlow",0.285385364757844,FALSE,2,0.499424388326228,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"acute_recovery","OCTA","PA_SVP_0_21_improvement",12,7,5,-1.20477142857143,2.34617770051225,-1.0844,-3.55412,4.3417612108452,-2.7838,2.34934857142857,1.10060061841031,0.315527835522531,-2.94650739394274,7.64520453679988,1.10060061841031,0.315527835522531,24,0.343434343434343,0.71346226048177,0.658580548137019,1.00135150500988,0.541104970388555,"Medium",1,7,-1.20477142857143,-3.55412,66.102117301289,FALSE,FALSE,FALSE,"BloodFlow_SVP","BloodFlow",0.595779128886069,FALSE,2,0.666788283095412,FALSE,7,0.631807428123192,FALSE,35,0.707468295397179,FALSE,65
"acute_recovery","OCTA","VD_DCP_0_21_improvement",12,7,5,-0.292242857142857,1.2369557319715,-0.0547999999999997,0.40722,1.48889128783803,0.458600000000001,0.699462857142857,-0.859717066797185,0.415995547814267,-2.58962978251503,1.19070406822931,-0.859717066797185,0.415995547814267,13,0.53030303030303,0.520661636710328,0.480610741578764,0.565471212157312,0.469787729202528,"Medium",2,5,0.40722,-0.292242857142857,239.343012171873,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.415995547814267,FALSE,2,0.666788283095412,FALSE,7,0.661811098795424,FALSE,35,0.72174303553102,FALSE,65
"acute_recovery","OCTA","VD_ICP_0_21_improvement",12,7,5,-0.0931714285714287,2.22661329131208,-0.4785,0.2169,1.02604167556684,0.0752000000000006,0.310071428571429,-0.323481014443506,0.753789480225506,-2.48158132155885,1.86143846441599,-0.323481014443506,0.753789480225506,14,0.638888888888889,0.168264083164961,0.155320692152271,0.13925697371038,0.302201592737576,"Negligible",2,5,0.2169,-0.0931714285714287,332.796688132475,FALSE,FALSE,FALSE,"BloodFlow_ICP","BloodFlow",0.753789480225506,FALSE,2,0.753789480225506,FALSE,7,0.866961785333702,FALSE,35,0.89084211299378,FALSE,65
"acute_recovery","OCTA","VD_SVP_0_21_improvement",12,7,5,-1.6638,3.28066196724584,-1.2382,-0.7796,2.30950470880663,-0.465899999999998,0.884200000000001,-0.547904978181307,0.595779128886069,-4.48012146366947,2.71172146366947,-0.547904978181307,0.595779128886069,13,0.53030303030303,0.301664593504094,0.27845962477301,0.269518776645647,0.382852650885862,"Small",2,5,-0.7796,-1.6638,53.1434066594543,FALSE,FALSE,FALSE,"BloodFlow_SVP","BloodFlow",0.595779128886069,FALSE,2,0.69507565036708,FALSE,7,0.817409996042632,FALSE,35,0.839770755812795,FALSE,65
"acute_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,7,4,-2.86105714285714,2.77689266918807,-3.2227,4.711725,11.6179358750095,-0.699949999999999,7.57278214285714,-1.2828647535829,0.284627558840217,-25.7195573220204,10.5739930363061,-1.2828647535829,0.284627558840217,7,0.23030303030303,1.06953265625942,0.977858428580046,2.72707052270454,0.65181820801287,"Large",2,4,4.711725,-2.86105714285714,264.68475688307,FALSE,FALSE,FALSE,"Thickness_GCL_IPL","Thickness",0.284627558840217,FALSE,1,0.289659638593993,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"acute_recovery","OCTA","Thickness_INL_0_21_improvement",11,7,4,-1.59685714285714,3.70984085186824,-1.5163,4.564775,9.50076216113739,-0.0407499999999992,6.16163214285714,-1.24401913553978,0.289659638593993,-20.6624323803904,8.33916809467613,-1.24401913553978,0.289659638593993,9,0.412121212121212,0.983335217696773,0.899049341894193,1.66088853643255,0.6485408263414,"Large",2,4,4.564775,-1.59685714285714,385.859948112363,FALSE,FALSE,FALSE,"Thickness_INL","Thickness",0.289659638593993,FALSE,1,0.289659638593993,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"acute_recovery","OCTA","Thickness_OuterRetina_0_21_improvement",11,7,4,-8.09608571428571,10.5371339706185,-7.7161,9.25435,21.5762866137032,-0.682699999999997,17.3504357142857,-1.50875843987664,0.208791384337284,-49.8183171324638,15.1174457038923,-1.50875843987664,0.208791384337284,6,0.163636363636364,1.1460499420337,1.04781708985939,1.64659913812098,0.804143735431582,"Large",2,4,9.25435,-8.09608571428571,214.306472616397,FALSE,FALSE,FALSE,"Other","Other",0.208791384337284,FALSE,1,0.208791384337284,FALSE,1,0.521978460843209,FALSE,5,0.707468295397179,FALSE,65
"acute_recovery","OCTA","Thickness_Retina_0_21_improvement",11,7,4,-17.6331857142857,30.4013396141479,-15.9404,22.869625,58.6736574953573,-4.07095000000001,40.5028107142857,-1.28552239931401,0.26888885039085,-128.466061207461,47.4604397788899,-1.28552239931401,0.26888885039085,8,0.315151515151515,0.964436382314594,0.881770406687629,1.33227059163659,0.690306560784805,"Large",2,4,22.869625,-17.6331857142857,229.696501645031,FALSE,FALSE,FALSE,"Thickness_Retina","Thickness",0.26888885039085,FALSE,1,0.289659638593993,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"early_recovery","OCTA","PA_Choroid_0_21_improvement",12,6,6,3.91516666666666,5.85369919441259,3.54175000000001,-6.18601666666666,6.58197475304081,-4.92864999999998,10.1011833333333,2.8089892671618,0.0187368651218043,2.07392755930712,18.1284391073595,2.8089892671618,0.0187368651218043,32,0.025974025974026,1.62177070954663,1.49701911650458,1.72560683387609,1.53467366745317,"Large",1,6,3.91516666666666,-6.18601666666666,163.290593569906,TRUE,TRUE,TRUE,"BloodFlow_Choroid","BloodFlow",0.0187368651218043,TRUE,1,0.13115805585263,FALSE,7,0.211823764441546,FALSE,35,0.393386991105729,FALSE,65
"early_recovery","OCTA","PA_DCP_0_21_improvement",12,6,6,-1.69436666666667,6.13575191730131,-0.0371999999999986,-1.24451666666667,6.07816993260855,0.598600000000001,0.449850000000001,-0.127584637699725,0.901007082885952,-8.30612767683207,7.40642767683207,-0.127584637699725,0.901007082885952,16,0.818181818181818,0.0736610249203968,0.0679947922342125,0.0733161976010691,0.0740107639285663,"Negligible",2,6,-1.24451666666667,-1.69436666666667,26.5497432669041,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.901007082885952,FALSE,2,0.95912235752917,FALSE,7,0.955613572757828,FALSE,35,0.929610482342649,FALSE,65
"early_recovery","OCTA","PA_ICP_0_21_improvement",12,6,6,-0.476833333333332,2.5885475963688,-0.498399999999997,-1.0485,3.22118771511379,-0.295500000000004,0.571666666666668,0.338857750781003,0.74204369985102,-3.2110314508096,4.35436478414294,0.338857750781003,0.74204369985102,20,0.818181818181818,0.195639613630403,0.180590412581911,0.220844564522823,0.177470770791908,"Negligible",1,6,-0.476833333333332,-1.0485,54.5223334922907,FALSE,FALSE,FALSE,"BloodFlow_ICP","BloodFlow",0.74204369985102,FALSE,2,0.95912235752917,FALSE,7,0.866961785333702,FALSE,35,0.89084211299378,FALSE,65
"early_recovery","OCTA","PA_SVP_0_21_improvement",12,6,6,-2.23753333333333,4.3247355663285,-1.1051,-2.1298,2.48908478602076,-1.7576,0.107733333333335,-0.052885401962729,0.95912235752917,-4.80685244614267,4.591385779476,-0.052885401962729,0.95912235752917,21,0.699134199134199,0.0305334010593832,0.0281846779009691,0.0249109643077659,0.0432823075928906,"Negligible",2,6,-2.1298,-2.23753333333333,4.8148258498943,FALSE,FALSE,FALSE,"BloodFlow_SVP","BloodFlow",0.95912235752917,FALSE,2,0.95912235752917,FALSE,7,0.975101420436225,FALSE,35,0.974108644365564,FALSE,65
"early_recovery","OCTA","VD_DCP_0_21_improvement",12,6,6,-0.3407,1.66787221093224,-0.52015,0.3391,0.914237109288395,0.2019,0.6798,-0.875477280143648,0.407608427534425,-2.4802501059458,1.1206501059458,-0.875477280143648,0.407608427534425,12,0.393939393939394,0.505457043360336,0.466575732332618,0.407585182812077,0.743570779498471,"Medium",2,6,0.3391,-0.3407,199.530378632228,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.815216855068849,FALSE,2,0.713314748185243,FALSE,7,0.661811098795424,FALSE,35,0.72174303553102,FALSE,65
"early_recovery","OCTA","VD_ICP_0_21_improvement",12,6,6,-0.60975,0.944697157294336,-0.7945,0.6818,2.22583645490858,1.03095,1.29155,-1.30836134900262,0.233569115609297,-3.64381926389613,1.06071926389613,-1.30836134900262,0.233569115609297,8,0.132034632034632,0.755382777043965,0.697276409579044,1.36715770766059,0.580253772532019,"Medium",2,6,0.6818,-0.60975,211.816318163182,FALSE,FALSE,FALSE,"BloodFlow_ICP","BloodFlow",0.467138231218595,FALSE,2,0.54499460308836,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"early_recovery","OCTA","VD_SVP_0_21_improvement",12,6,6,-2.33361666666667,1.74011733790186,-2.8818,-0.25715,3.46747171798127,-0.427049999999998,2.07646666666667,-1.31102989594775,0.229227277499343,-5.78405182376196,1.63111849042863,-1.31102989594775,0.229227277499343,9,0.17965367965368,0.756923463341081,0.698698581545613,1.19329117723196,0.598841702413528,"Medium",2,6,-0.25715,-2.33361666666667,88.980623781398,FALSE,FALSE,FALSE,"BloodFlow_SVP","BloodFlow",0.458454554998687,FALSE,2,0.54499460308836,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"early_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,6,5,1.53051666666667,10.4813831956315,-1.11225,-2.07272,1.76524417772726,-1.1046,3.60323666666667,0.828098001169012,0.443049957295027,-7.37198004876442,14.5784533820978,0.828098001169012,0.443049957295027,19,0.536796536796537,0.456076954567384,0.416984644175894,0.343774919723233,2.04121147211815,"Small",1,6,1.53051666666667,-2.07272,173.840975465411,FALSE,FALSE,FALSE,"Thickness_GCL_IPL","Thickness",0.443049957295027,FALSE,1,0.664574935942541,FALSE,3,0.604159032675037,FALSE,15,0.72174303553102,FALSE,65
